time;W-power.real.c.ELECTRICITY;Wh-energy.c.ELECTRICITY
10920;133.0;2.216666666666667
10980;133.0;2.216666666666667
11040;133.0;2.216666666666667
11100;133.0;2.216666666666667
11160;133.0;2.216666666666667
11220;133.0;2.216666666666667
11280;235.0;3.9166666666666665
11340;235.0;3.9166666666666665
11400;235.0;3.9166666666666665
11460;235.0;3.9166666666666665
11520;235.0;3.9166666666666665
11580;235.0;3.9166666666666665
11640;235.0;3.9166666666666665
11700;235.0;3.9166666666666665
11760;235.0;3.9166666666666665
11820;235.0;3.9166666666666665
11880;235.0;3.9166666666666665
11940;235.0;3.9166666666666665
12000;235.0;3.9166666666666665
12060;235.0;3.9166666666666665
12120;133.0;2.216666666666667
12180;133.0;2.216666666666667
12240;133.0;2.216666666666667
12300;133.0;2.216666666666667
12360;133.0;2.216666666666667
12420;133.0;2.216666666666667
