time;W-power.real.c.ELECTRICITY;W-power.plan.real.c.ELECTRICITY;Wh-energy.soc;W-power.real.secondary
498660;399.0;13.562076050819087;3983.800000000001;0
498720;399.0;13.562076050819087;3990.450000000001;0
498780;173.0;13.562076050819087;3997.1000000000013;0
498840;0.0;13.562076050819087;4000.0;0
498900;0.0;13.562076050819087;4000.0;0
498960;0.0;13.562076050819087;4000.0;0
499020;0.0;13.562076050819087;4000.0;0
499080;0.0;13.562076050819087;4000.0;0
499140;0.0;13.562076050819087;4000.0;0
499200;0.0;13.562076050819087;4000.0;0
499260;0.0;13.562076050819087;4000.0;0
499320;0.0;13.562076050819087;4000.0;0
499380;0.0;13.562076050819087;4000.0;0
499440;0.0;13.562076050819087;4000.0;0
499500;-304.0;-382.84699798251677;4000.0;0
499560;-304.0;-382.84699798251677;3994.9333333333334;0
499620;-304.0;-382.84699798251677;3989.866666666667;0
499680;-304.0;-382.84699798251677;3984.8;0
499740;-304.0;-382.84699798251677;3979.7333333333336;0
499800;-304.0;-382.84699798251677;3974.666666666667;0
499860;-304.0;-382.84699798251677;3969.6000000000004;0
499920;-304.0;-382.84699798251677;3964.5333333333338;0
499980;-253.0;-382.84699798251677;3959.466666666667;0
500040;-253.0;-382.84699798251677;3955.2500000000005;0
500100;-253.0;-382.84699798251677;3951.0333333333338;0
500160;-253.0;-382.84699798251677;3946.816666666667;0
500220;-253.0;-382.84699798251677;3942.6000000000004;0
500280;-253.0;-382.84699798251677;3938.3833333333337;0
500340;-253.0;-382.84699798251677;3934.166666666667;0
500400;-391.0;-383.7064525482979;3929.9500000000003;0
500460;-391.0;-383.7064525482979;3923.4333333333334;0
500520;-391.0;-383.7064525482979;3916.9166666666665;0
500580;-391.0;-383.7064525482979;3910.3999999999996;0
500640;-391.0;-383.7064525482979;3903.8833333333328;0
500700;-391.0;-383.7064525482979;3897.366666666666;0
500760;-391.0;-383.7064525482979;3890.849999999999;0
500820;-391.0;-383.7064525482979;3884.333333333332;0
500880;-391.0;-383.7064525482979;3877.8166666666652;0
500940;-391.0;-383.7064525482979;3871.2999999999984;0
501000;-391.0;-383.7064525482979;3864.7833333333315;0
501060;-391.0;-383.7064525482979;3858.2666666666646;0
501120;-391.0;-383.7064525482979;3851.7499999999977;0
501180;-391.0;-383.7064525482979;3845.233333333331;0
501240;-391.0;-383.7064525482979;3838.716666666664;0
501300;846.0;199.1102695036011;3832.199999999997;0
501360;794.0;199.1102695036011;3846.299999999997;0
501420;794.0;199.1102695036011;3859.53333333333;0
501480;794.0;199.1102695036011;3872.7666666666632;0
501540;794.0;199.1102695036011;3885.9999999999964;0
501600;794.0;199.1102695036011;3899.2333333333295;0
501660;794.0;199.1102695036011;3912.4666666666626;0
501720;794.0;199.1102695036011;3925.6999999999957;0
501780;794.0;199.1102695036011;3938.933333333329;0
501840;794.0;199.1102695036011;3952.166666666662;0
501900;794.0;199.1102695036011;3965.399999999995;0
501960;794.0;199.1102695036011;3978.633333333328;0
502020;488.0;199.1102695036011;3991.8666666666613;0
502080;0.0;199.1102695036011;4000.0;0
502140;0.0;199.1102695036011;4000.0;0
502200;0.0;-214.9851292681965;4000.0;0
502260;0.0;-214.9851292681965;4000.0;0
502320;0.0;-214.9851292681965;4000.0;0
502380;0.0;-214.9851292681965;4000.0;0
502440;-1079.0;-214.9851292681965;4000.0;0
502500;857.0;-214.9851292681965;3982.016666666667;0
502560;221.0;-214.9851292681965;3996.3;0
502620;0.0;-214.9851292681965;4000.0;0
502680;0.0;-214.9851292681965;4000.0;0
502740;-1056.0;-214.9851292681965;4000.0;0
502800;-1074.0;-214.9851292681965;3982.4;0
502860;-1046.0;-214.9851292681965;3964.5;0
502920;-1065.0;-214.9851292681965;3947.0666666666666;0
502980;-1083.0;-214.9851292681965;3929.3166666666666;0
503040;-1055.0;-214.9851292681965;3911.2666666666664;0
503100;-254.0;95.98075619847032;3893.683333333333;0
503160;-212.0;95.98075619847032;3889.45;0
503220;-237.0;95.98075619847032;3885.9166666666665;0
503280;-209.0;95.98075619847032;3881.9666666666667;0
503340;-191.0;95.98075619847032;3878.4833333333336;0
503400;-159.0;95.98075619847032;3875.3;0
503460;1284.0;95.98075619847032;3872.65;0
503520;1689.0;95.98075619847032;3894.05;0
503580;1699.0;95.98075619847032;3922.2000000000003;0
503640;1680.0;95.98075619847032;3950.516666666667;0
503700;1288.0;95.98075619847032;3978.516666666667;0
503760;0.0;95.98075619847032;4000.0;0
503820;0.0;95.98075619847032;4000.0;0
503880;0.0;95.98075619847032;4000.0;0
503940;0.0;95.98075619847032;4000.0;0
504000;0.0;379.3910834068024;4000.0;0
504060;0.0;379.3910834068024;4000.0;0
504120;0.0;379.3910834068024;4000.0;0
504180;0.0;379.3910834068024;4000.0;0
504240;0.0;379.3910834068024;4000.0;0
504300;0.0;379.3910834068024;4000.0;0
504360;0.0;379.3910834068024;4000.0;0
504420;0.0;379.3910834068024;4000.0;0
504480;0.0;379.3910834068024;4000.0;0
504540;0.0;379.3910834068024;4000.0;0
504600;0.0;379.3910834068024;4000.0;0
504660;0.0;379.3910834068024;4000.0;0
504720;0.0;379.3910834068024;4000.0;0
504780;0.0;379.3910834068024;4000.0;0
504840;0.0;379.3910834068024;4000.0;0
504900;0.0;204.40947270762217;4000.0;0
504960;0.0;204.40947270762217;4000.0;0
505020;0.0;204.40947270762217;4000.0;0
505080;0.0;204.40947270762217;4000.0;0
505140;0.0;204.40947270762217;4000.0;0
505200;0.0;204.40947270762217;4000.0;0
505260;0.0;204.40947270762217;4000.0;0
505320;0.0;204.40947270762217;4000.0;0
505380;0.0;204.40947270762217;4000.0;0
505440;0.0;204.40947270762217;4000.0;0
505500;0.0;204.40947270762217;4000.0;0
505560;0.0;204.40947270762217;4000.0;0
505620;0.0;204.40947270762217;4000.0;0
505680;0.0;204.40947270762217;4000.0;0
505740;0.0;204.40947270762217;4000.0;0
505800;-1699.0;-2003.2981067603268;4000.0;0
505860;-1751.0;-2003.2981067603268;3971.6833333333334;0
505920;-1937.0;-2003.2981067603268;3942.5;0
505980;-1943.0;-2003.2981067603268;3910.2166666666667;0
506040;-1951.0;-2003.2981067603268;3877.8333333333335;0
506100;-3700.0;-2003.2981067603268;3845.3166666666666;0
506160;-1846.0;-2003.2981067603268;3783.65;0
506220;-1751.0;-2003.2981067603268;3752.883333333333;0
506280;-1963.0;-2003.2981067603268;3723.7;0
506340;-1938.0;-2003.2981067603268;3690.983333333333;0
506400;-1736.0;-2003.2981067603268;3658.683333333333;0
506460;-3700.0;-2003.2981067603268;3629.7499999999995;0
506520;-1650.0;-2003.2981067603268;3568.083333333333;0
506580;-1650.0;-2003.2981067603268;3540.583333333333;0
506640;-1650.0;-2003.2981067603268;3513.083333333333;0
506700;-2117.0;-2192.267184198371;3485.583333333333;0
506760;-2117.0;-2192.267184198371;3450.2999999999997;0
506820;-2117.0;-2192.267184198371;3415.0166666666664;0
506880;-2117.0;-2192.267184198371;3379.733333333333;0
506940;-2117.0;-2192.267184198371;3344.45;0
507000;-2117.0;-2192.267184198371;3309.1666666666665;0
507060;-2117.0;-2192.267184198371;3273.883333333333;0
507120;-2117.0;-2192.267184198371;3238.6;0
507180;-2117.0;-2192.267184198371;3203.3166666666666;0
507240;-2117.0;-2192.267184198371;3168.0333333333333;0
507300;-2117.0;-2192.267184198371;3132.75;0
507360;-2117.0;-2192.267184198371;3097.4666666666667;0
507420;-2117.0;-2192.267184198371;3062.1833333333334;0
507480;-2117.0;-2192.267184198371;3026.9;0
507540;-2117.0;-2192.267184198371;2991.616666666667;0
507600;-3081.0;-2996.321958229706;2956.3333333333335;0
507660;-3081.0;-2996.321958229706;2904.9833333333336;0
507720;-3081.0;-2996.321958229706;2853.6333333333337;0
507780;-3081.0;-2996.321958229706;2802.2833333333338;0
507840;-3081.0;-2996.321958229706;2750.933333333334;0
507900;-3081.0;-2996.321958229706;2699.583333333334;0
507960;-3081.0;-2996.321958229706;2648.233333333334;0
508020;-3081.0;-2996.321958229706;2596.883333333334;0
508080;-3081.0;-2996.321958229706;2545.533333333334;0
508140;-3081.0;-2996.321958229706;2494.1833333333343;0
508200;-3081.0;-2996.321958229706;2442.8333333333344;0
508260;-3081.0;-2996.321958229706;2391.4833333333345;0
508320;-3081.0;-2996.321958229706;2340.1333333333346;0
508380;-3081.0;-2996.321958229706;2288.7833333333347;0
508440;-3029.0;-2996.321958229706;2237.4333333333348;0
508500;-1154.0;-1108.0690057981456;2186.9500000000016;0
508560;-1154.0;-1108.0690057981456;2167.7166666666685;0
508620;-1154.0;-1108.0690057981456;2148.4833333333354;0
508680;-1154.0;-1108.0690057981456;2129.2500000000023;0
508740;-1154.0;-1108.0690057981456;2110.016666666669;0
508800;-1154.0;-1108.0690057981456;2090.783333333336;0
508860;-1154.0;-1108.0690057981456;2071.550000000003;0
508920;-1154.0;-1108.0690057981456;2052.31666666667;0
508980;-1154.0;-1108.0690057981456;2033.0833333333364;0
509040;-1154.0;-1108.0690057981456;2013.850000000003;0
509100;-1154.0;-1108.0690057981456;1994.6166666666697;0
509160;-1154.0;-1108.0690057981456;1975.3833333333364;0
509220;-1154.0;-1108.0690057981456;1956.150000000003;0
509280;-1205.0;-1108.0690057981456;1936.9166666666697;0
509340;-1205.0;-1108.0690057981456;1916.8333333333364;0
509400;-331.0;-251.0731409007485;1896.7500000000032;0
509460;-331.0;-251.0731409007485;1891.2333333333365;0
509520;-331.0;-251.0731409007485;1885.7166666666699;0
509580;-331.0;-251.0731409007485;1880.2000000000032;0
509640;-331.0;-251.0731409007485;1874.6833333333366;0
509700;-331.0;-251.0731409007485;1869.16666666667;0
509760;-331.0;-251.0731409007485;1863.6500000000033;0
509820;-331.0;-251.0731409007485;1858.1333333333366;0
509880;-331.0;-251.0731409007485;1852.61666666667;0
509940;-331.0;-251.0731409007485;1847.1000000000033;0
510000;-331.0;-251.0731409007485;1841.5833333333367;0
510060;-280.0;-251.0731409007485;1836.06666666667;0
510120;-280.0;-251.0731409007485;1831.4000000000033;0
510180;-280.0;-251.0731409007485;1826.7333333333365;0
510240;-280.0;-251.0731409007485;1822.0666666666698;0
510300;-1884.0;-1829.8799838834684;1817.400000000003;0
510360;-1884.0;-1829.8799838834684;1786.000000000003;0
510420;-1884.0;-1829.8799838834684;1754.6000000000029;0
510480;-1884.0;-1829.8799838834684;1723.2000000000028;0
510540;-1884.0;-1829.8799838834684;1691.8000000000027;0
510600;-1884.0;-1829.8799838834684;1660.4000000000026;0
510660;-1884.0;-1829.8799838834684;1629.0000000000025;0
510720;-1936.0;-1829.8799838834684;1597.6000000000024;0
510780;-1936.0;-1829.8799838834684;1565.3333333333358;0
510840;-1936.0;-1829.8799838834684;1533.066666666669;0
510900;-1936.0;-1829.8799838834684;1500.8000000000025;0
510960;-1936.0;-1829.8799838834684;1468.5333333333358;0
511020;-1936.0;-1829.8799838834684;1436.2666666666692;0
511080;-1936.0;-1829.8799838834684;1404.0000000000025;0
511140;-1936.0;-1829.8799838834684;1371.7333333333358;0
511200;-156.0;-14.263248282296445;1339.4666666666692;0
511260;-156.0;-14.263248282296445;1336.8666666666693;0
511320;-156.0;-14.263248282296445;1334.2666666666694;0
511380;-156.0;-14.263248282296445;1331.6666666666695;0
511440;-3700.0;-14.263248282296445;1329.0666666666696;0
511500;-156.0;-14.263248282296445;1267.4000000000028;0
511560;-104.0;-14.263248282296445;1264.800000000003;0
511620;-104.0;-14.263248282296445;1263.0666666666696;0
511680;-104.0;-14.263248282296445;1261.3333333333362;0
511740;-104.0;-14.263248282296445;1259.6000000000029;0
511800;-104.0;-14.263248282296445;1257.8666666666695;0
511860;-104.0;-14.263248282296445;1256.1333333333362;0
511920;-104.0;-14.263248282296445;1254.4000000000028;0
511980;-104.0;-14.263248282296445;1252.6666666666695;0
512040;-104.0;-14.263248282296445;1250.9333333333361;0
512100;293.0;493.6235381761435;1249.2000000000028;0
512160;293.0;493.6235381761435;1254.0833333333362;0
512220;293.0;493.6235381761435;1258.9666666666697;0
512280;293.0;493.6235381761435;1263.850000000003;0
512340;293.0;493.6235381761435;1268.7333333333365;0
512400;293.0;493.6235381761435;1273.61666666667;0
512460;293.0;493.6235381761435;1278.5000000000034;0
512520;293.0;493.6235381761435;1283.3833333333369;0
512580;293.0;493.6235381761435;1288.2666666666703;0
512640;356.0;493.6235381761435;1293.1500000000037;0
512700;356.0;493.6235381761435;1299.0833333333371;0
512760;356.0;493.6235381761435;1305.0166666666705;0
512820;356.0;493.6235381761435;1310.950000000004;0
512880;356.0;493.6235381761435;1316.8833333333373;0
512940;356.0;493.6235381761435;1322.8166666666707;0
513000;-200.0;-4.540972588675686;1328.750000000004;0
513060;-200.0;-4.540972588675686;1325.4166666666708;0
513120;-200.0;-4.540972588675686;1322.0833333333376;0
513180;-200.0;-4.540972588675686;1318.7500000000043;0
513240;-200.0;-4.540972588675686;1315.416666666671;0
513300;-200.0;-4.540972588675686;1312.0833333333378;0
513360;-200.0;-4.540972588675686;1308.7500000000045;0
513420;86.0;-4.540972588675686;1305.4166666666713;0
