time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;DishWasher-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;Load-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY
481380;1927.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42202.00932601251;-211.22074541159884;0.0
481440;1927.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42269.951964071435;-209.52671683304214;0.0
481500;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42337.89460213036;-207.83324226148008;0.0
481560;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42405.83724018929;-206.14031807850944;0.0
481620;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42473.77987824822;-204.4479407320143;0.0
481680;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42541.72251630715;-202.75610673544418;0.0
481740;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42609.66515436608;-201.0648126671133;0.0
481800;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42677.607792425006;-199.37405516952006;0.0
481860;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42745.550430483934;-197.68383094859772;0.0
481920;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42813.49306854286;-195.99413677343117;0.0
481980;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;42881.43570660179;-194.30496947510497;0.0
482040;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;42949.37834466072;-192.61632594646255;0.0
482100;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;43017.32098271965;-190.92820314144143;0.0
482160;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;43085.263620778576;-189.24059807451874;0.0
482220;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;43153.206258837505;-187.55350782017786;0.0
482280;1973.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839511;43221.14889689643;-185.86692951239897;0.0
482340;1973.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839511;43289.09153495536;-184.18086034416856;0.0
482400;1603.0;100;12000;0.0;0.0;0.0;191.0;884.1813723233797;43357.03417301429;-182.49529756701634;0.0
482460;1603.0;-100;0;0.0;0.0;0.0;191.0;884.1813723233797;43415.979597835845;-180.81023849056965;0.0
482520;1603.0;100;12000;0.0;0.0;0.0;191.0;884.1813723233797;43474.9250226574;-179.12568048206032;0.0
482580;1603.0;-100;0;0.0;0.0;0.0;191.0;884.1813723233797;43533.870447478956;-177.44162096623555;0.0
482640;1603.0;100;12000;0.0;0.0;0.0;243.0;884.1813723233797;43592.81587230051;-175.75805742452465;0.0
