time;W-power.real.c.NATGAS;W-power.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
7020;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7080;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7140;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7200;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7260;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7320;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7380;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7440;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7500;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7560;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7620;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7680;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7740;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7800;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7860;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7920;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
7980;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8040;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8100;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8160;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8220;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8280;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8340;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8400;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8460;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8520;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8580;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8640;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8700;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8760;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8820;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8880;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
8940;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9000;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9060;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9120;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9180;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9240;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9300;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9360;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9420;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9480;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9540;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9600;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9660;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9720;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9780;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9840;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9900;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
9960;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10020;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10080;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10140;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10200;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10260;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10320;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10380;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10440;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10500;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10560;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10620;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10680;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10740;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10800;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10860;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10920;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
10980;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11040;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11100;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11160;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11220;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11280;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11340;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11400;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11460;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11520;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11580;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11640;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11700;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11760;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11820;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11880;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
11940;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
12000;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
12060;0.0;0.0;0.0;0.0;-0.0;25000.0
12120;0.0;0.0;0.0;0.0;-0.0;25000.0
12180;0.0;0.0;0.0;0.0;-0.0;25000.0
12240;0.0;0.0;0.0;0.0;-0.0;25000.0
12300;0.0;0.0;0.0;0.0;-0.0;25000.0
12360;0.0;0.0;0.0;0.0;-0.0;25000.0
12420;0.0;0.0;0.0;0.0;-0.0;25000.0
12480;0.0;0.0;0.0;0.0;-0.0;25000.0
12540;0.0;0.0;0.0;0.0;-0.0;25000.0
12600;0.0;0.0;0.0;0.0;-0.0;25000.0
12660;0.0;0.0;0.0;0.0;-0.0;25000.0
12720;0.0;0.0;0.0;0.0;-0.0;25000.0
12780;0.0;0.0;0.0;0.0;-0.0;25000.0
12840;0.0;0.0;0.0;0.0;-0.0;25000.0
12900;0.0;0.0;0.0;0.0;-0.0;25000.0
12960;0.0;0.0;0.0;0.0;-0.0;25000.0
13020;0.0;0.0;0.0;0.0;-0.0;25000.0
13080;0.0;0.0;0.0;0.0;-0.0;25000.0
13140;0.0;0.0;0.0;0.0;-0.0;25000.0
13200;0.0;0.0;0.0;0.0;-0.0;25000.0
13260;0.0;0.0;0.0;0.0;-0.0;25000.0
13320;0.0;0.0;0.0;0.0;-0.0;25000.0
13380;0.0;0.0;0.0;0.0;-0.0;25000.0
13440;0.0;0.0;0.0;0.0;-0.0;25000.0
13500;0.0;0.0;0.0;0.0;-0.0;25000.0
13560;0.0;0.0;0.0;0.0;-0.0;25000.0
13620;0.0;0.0;0.0;0.0;-0.0;25000.0
13680;0.0;0.0;0.0;0.0;-0.0;25000.0
13740;0.0;0.0;0.0;0.0;-0.0;25000.0
13800;0.0;0.0;0.0;0.0;-0.0;25000.0
13860;0.0;0.0;0.0;0.0;-0.0;25000.0
13920;0.0;0.0;0.0;0.0;-0.0;25000.0
13980;0.0;0.0;0.0;0.0;-0.0;25000.0
14040;0.0;0.0;0.0;0.0;-0.0;25000.0
14100;0.0;0.0;0.0;0.0;-0.0;25000.0
14160;0.0;0.0;0.0;0.0;-0.0;25000.0
14220;0.0;0.0;0.0;0.0;-0.0;25000.0
14280;0.0;0.0;0.0;0.0;-0.0;25000.0
14340;0.0;0.0;0.0;0.0;-0.0;25000.0
14400;0.0;0.0;0.0;0.0;-0.0;25000.0
14460;0.0;0.0;0.0;0.0;-0.0;25000.0
14520;0.0;0.0;0.0;0.0;-0.0;25000.0
14580;0.0;0.0;0.0;0.0;-0.0;25000.0
14640;0.0;0.0;0.0;0.0;-0.0;25000.0
14700;0.0;0.0;0.0;0.0;-0.0;25000.0
14760;0.0;0.0;0.0;0.0;-0.0;25000.0
14820;0.0;0.0;0.0;0.0;-0.0;25000.0
14880;0.0;0.0;0.0;0.0;-0.0;25000.0
14940;0.0;0.0;0.0;0.0;-0.0;25000.0
15000;0.0;0.0;0.0;0.0;-0.0;25000.0
15060;0.0;0.0;0.0;0.0;-0.0;25000.0
15120;0.0;0.0;0.0;0.0;-0.0;25000.0
15180;0.0;0.0;0.0;0.0;-0.0;25000.0
15240;0.0;0.0;0.0;0.0;-0.0;25000.0
15300;0.0;0.0;0.0;0.0;-0.0;25000.0
15360;0.0;0.0;0.0;0.0;-0.0;25000.0
15420;0.0;0.0;0.0;0.0;-0.0;25000.0
15480;0.0;0.0;0.0;0.0;-0.0;25000.0
15540;0.0;0.0;0.0;0.0;-0.0;25000.0
15600;0.0;0.0;0.0;0.0;-0.0;25000.0
15660;0.0;0.0;0.0;0.0;-0.0;25000.0
15720;0.0;0.0;0.0;0.0;-0.0;25000.0
15780;0.0;0.0;0.0;0.0;-0.0;25000.0
15840;0.0;0.0;0.0;0.0;-0.0;25000.0
15900;0.0;0.0;0.0;0.0;-0.0;25000.0
15960;0.0;0.0;0.0;0.0;-0.0;25000.0
16020;0.0;0.0;0.0;0.0;-0.0;25000.0
16080;0.0;0.0;0.0;0.0;-0.0;25000.0
16140;0.0;0.0;0.0;0.0;-0.0;25000.0
