time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;DishWasher-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;Load-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY
356220;-559.0;-700.0;1185.7999999999918;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356280;-559.0;-700.0;1174.133333333325;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356340;-559.0;-700.0;1162.4666666666583;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356400;862.0;720.0;1150.7999999999915;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356460;862.0;722.0;1162.7999999999915;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356520;862.0;722.0;1174.8333333333248;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356580;862.0;722.0;1186.8666666666581;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356640;862.0;722.0;1198.8999999999915;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356700;862.0;722.0;1210.9333333333248;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356760;862.0;722.0;1222.966666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356820;862.0;722.0;1234.9999999999914;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356880;862.0;722.0;1247.0333333333247;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356940;862.0;712.0;1259.066666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357000;862.0;718.0;1270.9333333333245;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357060;862.0;688.0;1282.8999999999912;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357120;862.0;567.0;1294.366666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357180;862.0;564.0;1303.816666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357240;862.0;564.0;1313.216666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357300;1166.0;868.0;1322.6166666666581;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357360;1166.0;868.0;1337.0833333333248;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357420;1166.0;895.0;1351.5499999999915;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357480;1166.0;1013.0;1366.4666666666583;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357540;1166.0;1022.0;1383.3499999999917;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357600;1167.0;-666.0;1400.383333333325;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357660;1167.0;-2110.0;1389.2833333333251;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357720;1167.0;-2080.0;1354.1166666666584;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357780;1167.0;-2093.0;1319.4499999999916;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357840;1167.0;-2148.0;1284.5666666666582;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357900;1167.0;-2139.0;1248.7666666666582;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
357960;1167.0;-2146.0;1213.1166666666581;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358020;1167.0;-2141.0;1177.3499999999915;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358080;1167.0;-2182.0;1141.666666666658;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358140;1167.0;-2193.0;1105.2999999999915;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358200;1055.0;-2306.0;1068.7499999999916;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358260;1055.0;-2298.0;1030.3166666666582;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358320;1055.0;-2292.0;992.0166666666582;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358380;1055.0;-336.0;953.8166666666582;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358440;1054.0;645.0;948.2166666666582;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358500;1054.0;650.0;958.9666666666582;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358560;1054.0;651.0;969.7999999999915;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358620;1054.0;653.0;980.6499999999916;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358680;1054.0;705.0;991.5333333333249;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358740;1054.0;706.0;1003.2833333333249;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358800;1054.0;706.0;1015.0499999999915;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358860;1054.0;802.0;1026.8166666666582;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358920;1054.0;903.0;1040.1833333333248;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
358980;1054.0;897.0;1055.2333333333247;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359040;1054.0;910.0;1070.1833333333248;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359100;1201.0;1057.0;1085.3499999999915;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359160;1201.0;918.0;1102.966666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359220;1201.0;900.0;1118.266666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359280;1201.0;901.0;1133.266666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359340;1201.0;1038.0;1148.2833333333247;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359400;1201.0;925.0;1165.5833333333246;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359460;1201.0;902.0;1180.9999999999914;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359520;1201.0;902.0;1196.0333333333247;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359580;1201.0;902.0;1211.066666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359640;1201.0;1025.0;1226.0999999999913;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359700;1201.0;1052.0;1243.1833333333245;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359760;1201.0;1057.0;1260.7166666666578;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359820;1202.0;-1177.0;1278.3333333333244;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359880;1202.0;-2054.0;1258.7166666666578;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
359940;1202.0;-2049.0;1224.4833333333245;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360000;1157.0;-2101.0;1190.3333333333244;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360060;1157.0;-2094.0;1155.3166666666577;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360120;1157.0;-2096.0;1120.4166666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360180;1157.0;-2093.0;1085.4833333333243;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360240;1157.0;-2087.0;1050.5999999999908;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360300;1157.0;-2084.0;1015.8166666666575;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360360;1157.0;-2104.0;981.0833333333242;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360420;1157.0;-204.0;946.0166666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360480;1156.0;857.0;942.6166666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360540;1157.0;-1646.0;956.8999999999909;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360600;1156.0;744.0;929.4666666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360660;1156.0;1009.0;941.8666666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360720;1156.0;1013.0;958.6833333333243;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360780;1156.0;1013.0;975.5666666666576;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360840;1156.0;1013.0;992.449999999991;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360900;1001.0;858.0;1009.3333333333243;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
360960;1001.0;806.0;1023.6333333333242;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361020;1001.0;806.0;1037.0666666666575;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361080;1002.0;-1414.0;1050.499999999991;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361140;1001.0;442.0;1026.9333333333243;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361200;1001.0;805.0;1034.2999999999909;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361260;1001.0;809.0;1047.7166666666576;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361320;1001.0;809.0;1061.199999999991;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361380;1001.0;809.0;1074.6833333333243;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361440;1001.0;758.0;1088.1666666666576;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361500;1001.0;758.0;1100.799999999991;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361560;1001.0;758.0;1113.4333333333245;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361620;1001.0;758.0;1126.066666666658;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361680;1001.0;758.0;1138.6999999999914;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361740;1001.0;758.0;1151.3333333333248;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361800;-930.0;-1122.0;1163.9666666666583;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361860;-930.0;-1122.0;1145.2666666666582;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361920;-930.0;-1122.0;1126.5666666666582;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
361980;-930.0;-1122.0;1107.8666666666581;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362040;-930.0;-1122.0;1089.166666666658;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362100;-930.0;-1122.0;1070.466666666658;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362160;-930.0;-1122.0;1051.766666666658;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362220;-930.0;-1071.0;1033.066666666658;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362280;-930.0;-1071.0;1015.2166666666579;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362340;-930.0;-1071.0;997.3666666666579;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362400;-930.0;-1071.0;979.5166666666579;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
362460;-930.0;-1071.0;961.6666666666579;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
