time;Load-House-0: W-power.real.c.ELECTRICITY;Load-House-0: W-power.plan.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.plan.real.c.ELECTRICITY
148560;495.0;369.22083333333336;485.0;1003.2083333333333
148620;495.0;369.22083333333336;485.0;1003.2083333333333
148680;495.0;369.22083333333336;485.0;1003.2083333333333
148740;495.0;369.22083333333336;485.0;1003.2083333333333
148800;495.0;369.22083333333336;485.0;1003.2083333333333
148860;495.0;369.22083333333336;418.0;1003.2083333333333
148920;545.0;369.22083333333336;418.0;1003.2083333333333
148980;545.0;369.22083333333336;482.0;1003.2083333333333
149040;545.0;369.22083333333336;482.0;1003.2083333333333
149100;545.0;369.22083333333336;482.0;1003.2083333333333
149160;481.0;369.22083333333336;482.0;1003.2083333333333
149220;481.0;369.22083333333336;482.0;1003.2083333333333
149280;481.0;369.22083333333336;482.0;1003.2083333333333
149340;481.0;369.22083333333336;482.0;1003.2083333333333
149400;481.0;371.6166666666667;482.0;983.2854166666667
149460;481.0;371.6166666666667;482.0;983.2854166666667
149520;481.0;371.6166666666667;482.0;983.2854166666667
149580;481.0;371.6166666666667;482.0;983.2854166666667
149640;481.0;371.6166666666667;482.0;983.2854166666667
149700;431.0;371.6166666666667;418.0;983.2854166666667
149760;431.0;371.6166666666667;418.0;983.2854166666667
149820;431.0;371.6166666666667;418.0;983.2854166666667
149880;431.0;371.6166666666667;418.0;983.2854166666667
149940;431.0;371.6166666666667;418.0;983.2854166666667
150000;431.0;371.6166666666667;418.0;983.2854166666667
150060;431.0;371.6166666666667;418.0;983.2854166666667
150120;431.0;371.6166666666667;418.0;983.2854166666667
150180;431.0;371.6166666666667;418.0;983.2854166666667
150240;431.0;371.6166666666667;418.0;983.2854166666667
150300;431.0;393.37083333333334;418.0;540.15625
150360;431.0;393.37083333333334;418.0;540.15625
150420;431.0;393.37083333333334;418.0;540.15625
150480;431.0;393.37083333333334;418.0;540.15625
150540;431.0;393.37083333333334;418.0;540.15625
150600;431.0;393.37083333333334;418.0;540.15625
150660;431.0;393.37083333333334;418.0;540.15625
150720;431.0;393.37083333333334;418.0;540.15625
150780;431.0;393.37083333333334;418.0;540.15625
150840;431.0;393.37083333333334;418.0;540.15625
150900;431.0;393.37083333333334;418.0;540.15625
150960;431.0;393.37083333333334;418.0;540.15625
151020;431.0;393.37083333333334;418.0;540.15625
151080;431.0;393.37083333333334;418.0;540.15625
151140;431.0;393.37083333333334;418.0;540.15625
151200;431.0;402.23750000000007;418.0;547.63125
151260;431.0;402.23750000000007;418.0;547.63125
151320;431.0;402.23750000000007;418.0;547.63125
151380;431.0;402.23750000000007;418.0;547.63125
151440;431.0;402.23750000000007;418.0;547.63125
151500;431.0;402.23750000000007;485.0;547.63125
151560;495.0;402.23750000000007;485.0;547.63125
151620;495.0;402.23750000000007;485.0;547.63125
151680;495.0;402.23750000000007;485.0;547.63125
151740;495.0;402.23750000000007;485.0;547.63125
151800;495.0;402.23750000000007;485.0;547.63125
151860;495.0;402.23750000000007;485.0;547.63125
151920;495.0;402.23750000000007;485.0;547.63125
151980;545.0;402.23750000000007;485.0;547.63125
152040;545.0;402.23750000000007;485.0;547.63125
152100;545.0;406.3208333333333;549.0;650.0041666666667
152160;545.0;406.3208333333333;549.0;650.0041666666667
152220;545.0;406.3208333333333;549.0;650.0041666666667
152280;545.0;406.3208333333333;549.0;650.0041666666667
152340;481.0;406.3208333333333;549.0;650.0041666666667
152400;481.0;406.3208333333333;549.0;650.0041666666667
152460;481.0;406.3208333333333;549.0;650.0041666666667
152520;481.0;406.3208333333333;549.0;650.0041666666667
152580;481.0;406.3208333333333;482.0;650.0041666666667
152640;481.0;406.3208333333333;482.0;650.0041666666667
152700;481.0;406.3208333333333;482.0;650.0041666666667
152760;431.0;406.3208333333333;482.0;650.0041666666667
152820;431.0;406.3208333333333;418.0;650.0041666666667
152880;456.0;406.3208333333333;418.0;650.0041666666667
152940;456.0;406.3208333333333;418.0;650.0041666666667
153000;456.0;389.27083333333337;418.0;575.9604166666666
153060;456.0;389.27083333333337;418.0;575.9604166666666
153120;456.0;389.27083333333337;418.0;575.9604166666666
153180;456.0;389.27083333333337;418.0;575.9604166666666
153240;456.0;389.27083333333337;418.0;575.9604166666666
153300;456.0;389.27083333333337;418.0;575.9604166666666
153360;456.0;389.27083333333337;418.0;575.9604166666666
153420;456.0;389.27083333333337;418.0;575.9604166666666
153480;456.0;389.27083333333337;418.0;575.9604166666666
153540;456.0;389.27083333333337;418.0;575.9604166666666
153600;456.0;389.27083333333337;399.0;575.9604166666666
153660;456.0;389.27083333333337;399.0;575.9604166666666
153720;456.0;389.27083333333337;399.0;575.9604166666666
153780;456.0;389.27083333333337;399.0;575.9604166666666
153840;456.0;389.27083333333337;399.0;575.9604166666666
153900;456.0;913.8291666666667;399.0;517.0083333333333
153960;456.0;913.8291666666667;399.0;517.0083333333333
154020;456.0;913.8291666666667;399.0;517.0083333333333
154080;456.0;913.8291666666667;399.0;517.0083333333333
154140;456.0;913.8291666666667;399.0;517.0083333333333
154200;456.0;913.8291666666667;399.0;517.0083333333333
154260;456.0;913.8291666666667;399.0;517.0083333333333
154320;456.0;913.8291666666667;399.0;517.0083333333333
154380;456.0;913.8291666666667;399.0;517.0083333333333
154440;456.0;913.8291666666667;399.0;517.0083333333333
154500;456.0;913.8291666666667;399.0;517.0083333333333
154560;456.0;913.8291666666667;399.0;517.0083333333333
154620;456.0;913.8291666666667;399.0;517.0083333333333
154680;456.0;913.8291666666667;399.0;517.0083333333333
154740;520.0;913.8291666666667;399.0;517.0083333333333
154800;520.0;789.8041666666667;399.0;492.90625
154860;520.0;789.8041666666667;399.0;492.90625
154920;520.0;789.8041666666667;399.0;492.90625
154980;520.0;789.8041666666667;399.0;492.90625
155040;570.0;789.8041666666667;399.0;492.90625
