time;W-power.real.c.ELECTRICITY;W-power.plan.real.c.ELECTRICITY;W-power.real.c.HEAT;W-power.plan.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
312780;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12735.200021531276
312840;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12732.263442155161
312900;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12729.326862779046
312960;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12726.39028340293
313020;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12723.453704026815
313080;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12720.5171246507
313140;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12717.580545274584
313200;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12714.64396589847
313260;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12711.707386522354
313320;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12708.770807146238
313380;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12705.834227770123
313440;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12702.897648394008
313500;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12699.961069017892
313560;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12697.024489641777
313620;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12694.087910265662
313680;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12691.151330889546
313740;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12688.214751513431
313800;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12685.278172137316
313860;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12682.3415927612
313920;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12679.405013385085
313980;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12676.46843400897
314040;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12673.531854632854
314100;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12670.59527525674
314160;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12654.333218590951
314220;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12638.071161925163
314280;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12621.809105259375
314340;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12605.547048593588
314400;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12589.2849919278
314460;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12573.022935262012
314520;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12556.760878596224
314580;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12540.498821930436
314640;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12524.236765264648
314700;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12507.97470859886
314760;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12491.712651933072
314820;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12475.450595267284
314880;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12459.188538601496
314940;881.0691500131821;881.0691500131821;-4500.0;3524.2766000527286;0.0;-4500.0;3524.2766000527286;12442.926481935709
315000;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12426.66442526992
315060;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12408.186730621646
315120;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12389.709035973372
315180;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12371.231341325098
315240;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12352.753646676823
315300;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12334.275952028549
315360;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12315.798257380275
315420;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12297.320562732
315480;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12278.842868083726
315540;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12260.365173435452
315600;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12241.887478787177
315660;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12223.409784138903
315720;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12204.932089490629
315780;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12186.454394842354
315840;847.8345802758782;847.8345802758782;-4500.0;3391.338321103513;0.0;-4500.0;3391.338321103513;12167.97670019408
315900;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12149.499005545806
315960;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12146.56242616969
316020;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12143.625846793575
316080;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12140.68926741746
316140;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12137.752688041344
316200;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12134.816108665229
316260;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12131.879529289114
316320;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12128.942949912998
316380;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12126.006370536883
316440;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12123.069791160768
316500;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12120.133211784652
316560;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12117.196632408537
316620;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12114.260053032422
316680;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12111.323473656306
316740;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12108.386894280191
316800;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12105.450314904076
316860;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12102.51373552796
316920;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12099.577156151845
316980;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12096.64057677573
317040;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12093.703997399614
317100;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12090.767418023499
317160;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12087.830838647384
317220;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12084.894259271268
317280;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12081.957679895153
317340;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12079.021100519038
317400;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12076.084521142922
317460;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12073.147941766807
317520;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12070.211362390692
317580;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12067.274783014576
317640;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12064.338203638461
317700;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12061.401624262346
317760;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12058.46504488623
317820;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12055.528465510115
317880;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12052.591886134
317940;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12049.655306757884
318000;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12046.718727381769
318060;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12043.782148005654
318120;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12040.845568629538
318180;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12037.908989253423
318240;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12034.972409877308
318300;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12032.035830501192
318360;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12029.099251125077
318420;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12026.162671748962
318480;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12023.226092372846
318540;1080.9513093582673;1080.9513093582673;-4500.0;4323.805237433069;0.0;-4500.0;4323.805237433069;12020.289512996731
318600;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;12017.352933620616
318660;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;12013.390999477335
318720;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;12009.429065334054
318780;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;12005.467131190773
318840;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;12001.505197047492
318900;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11997.543262904212
318960;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11993.58132876093
319020;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11989.61939461765
319080;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11985.65746047437
319140;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11981.695526331088
319200;1065.570987850791;1065.570987850791;-4500.0;4262.283951403164;0.0;-4500.0;4262.283951403164;11977.733592187808
319260;1065.570987850791;1065.570987850791;0.0;4262.283951403164;0.0;0.0;4262.283951403164;11973.771658044527
319320;1065.570987850791;1065.570987850791;0.0;4262.283951403164;0.0;0.0;4262.283951403164;12044.809723901246
319380;1065.570987850791;1065.570987850791;0.0;4262.283951403164;0.0;0.0;4262.283951403164;12115.847789757965
