time;W-power.real.c.ELECTRICITY
10680;2772.0
10740;-21226.0
10800;2688.0
10860;-21310.0
10920;2688.0
10980;-21310.0
11040;2688.0
11100;-21310.0
11160;2688.0
11220;-21377.0
11280;2621.0
11340;-21377.0
11400;2621.0
11460;-21377.0
11520;2621.0
11580;-21377.0
11640;2621.0
11700;-21345.0
11760;2653.0
11820;-21345.0
11880;2653.0
11940;-21345.0
12000;2653.0
12060;-21345.0
12120;2653.0
12180;-21345.0
12240;2653.0
12300;-21345.0
12360;2653.0
12420;-21409.0
12480;2589.0
12540;-21303.0
12600;2794.0
12660;-21204.0
12720;2794.0
12780;-21204.0
12840;2794.0
12900;-21204.0
12960;2794.0
13020;-21204.0
13080;2794.0
13140;-21204.0
13200;2794.0
13260;-21204.0
13320;2794.0
13380;-21204.0
13440;2794.0
13500;-21329.0
13560;2669.0
13620;-21329.0
13680;2669.0
13740;-21329.0
13800;2669.0
13860;-21262.0
13920;2736.0
13980;-21262.0
14040;2736.0
14100;-21262.0
14160;2736.0
14220;-21262.0
14280;2736.0
14340;-21262.0
14400;2694.0
14460;-21304.0
14520;2694.0
14580;-21304.0
14640;2694.0
14700;-21304.0
14760;2694.0
14820;-21240.0
14880;2758.0
14940;-21307.0
15000;2691.0
15060;-21307.0
15120;2691.0
15180;-21307.0
15240;2691.0
15300;-21352.0
15360;2646.0
15420;-21352.0
15480;2646.0
15540;-21416.0
15600;2582.0
15660;-21416.0
15720;2582.0
15780;-21310.0
15840;2688.0
15900;-21310.0
15960;2688.0
16020;-21310.0
16080;2688.0
16140;-21310.0
16200;2812.0
16260;-21186.0
16320;2812.0
16380;-21186.0
16440;2812.0
16500;-21186.0
16560;2812.0
16620;-21186.0
16680;2812.0
16740;-21292.0
16800;2706.0
16860;-21292.0
16920;2706.0
16980;-21292.0
17040;2706.0
17100;-21351.0
17160;2647.0
17220;-21351.0
17280;2647.0
17340;-21351.0
17400;2647.0
17460;-21351.0
17520;2647.0
17580;-21284.0
17640;2714.0
17700;-21284.0
17760;2714.0
17820;-21284.0
17880;2714.0
17940;-21220.0
18000;2740.0
18060;-21258.0
18120;2740.0
18180;-21258.0
18240;2740.0
18300;-21258.0
18360;2740.0
18420;-21258.0
18480;2740.0
18540;-21258.0
18600;2740.0
18660;-21389.0
18720;2609.0
18780;-21389.0
18840;2609.0
18900;-21371.0
18960;2627.0
19020;-21265.0
19080;2733.0
19140;-21265.0
19200;2733.0
19260;-21265.0
19320;2733.0
19380;-21265.0
19440;2733.0
19500;-21265.0
19560;2733.0
19620;-21265.0
19680;2733.0
19740;-21265.0
19800;2803.0
19860;-21195.0
19920;2803.0
19980;-21301.0
20040;2697.0
20100;-21301.0
20160;2697.0
20220;-21301.0
20280;2697.0
20340;-21301.0
20400;2697.0
20460;-21301.0
20520;2697.0
20580;-21301.0
20640;2697.0
20700;-21361.0
20760;2637.0
20820;-21361.0
20880;2637.0
20940;-21361.0
21000;2637.0
21060;-21297.0
21120;2701.0
21180;-21297.0
21240;2701.0
21300;-21230.0
21360;2768.0
21420;-21230.0
21480;2768.0
21540;-21230.0
21600;2737.0
21660;-21261.0
21720;2737.0
21780;-21325.0
21840;2673.0
21900;-21325.0
21960;2673.0
22020;-21325.0
22080;2673.0
22140;-21325.0
22200;2673.0
22260;-21219.0
22320;2779.0
22380;-21286.0
22440;2712.0
22500;-21236.0
22560;2762.0
22620;-21236.0
22680;2762.0
22740;-21236.0
22800;2762.0
22860;-21234.0
22920;2764.0
22980;-21234.0
23040;2764.0
23100;-21234.0
23160;2764.0
23220;-21340.0
23280;2658.0
23340;-21340.0
23400;2145.0
23460;-21853.0
23520;2145.0
23580;-21853.0
23640;2145.0
23700;-21853.0
23760;2145.0
23820;-21853.0
23880;2145.0
23940;-21853.0
24000;2145.0
24060;-21853.0
24120;2145.0
24180;-21789.0
24240;2209.0
24300;-21797.0
24360;2201.0
24420;-21797.0
24480;2201.0
24540;-21797.0
24600;2201.0
24660;-21797.0
24720;2201.0
24780;-21797.0
24840;2201.0
24900;-21861.0
24960;2137.0
25020;-21794.0
25080;2204.0
25140;-21794.0
25200;2322.0
25260;-21676.0
25320;2322.0
25380;-21676.0
25440;2322.0
25500;-21570.0
25560;2428.0
25620;-21570.0
25680;2428.0
25740;-21570.0
25800;2428.0
25860;-21570.0
25920;2428.0
25980;-21570.0
26040;2428.0
26100;-22059.0
26160;1939.0
26220;-22060.0
26280;1938.0
26340;-22060.0
26400;1938.0
26460;-22166.0
26520;1832.0
26580;-22166.0
26640;1832.0
26700;-22166.0
26760;1832.0
26820;-22166.0
26880;1832.0
26940;-22166.0
27000;2205.0
27060;-21793.0
27120;2205.0
27180;-21793.0
27240;2205.0
27300;-21729.0
27360;2269.0
27420;-21729.0
27480;2269.0
27540;-21729.0
27600;2269.0
27660;-21729.0
27720;2269.0
27780;-21729.0
27840;2328.0
27900;-21712.0
27960;2286.0
28020;-21776.0
28080;2222.0
28140;-21776.0
28200;2222.0
28260;-21776.0
28320;2222.0
28380;-21776.0
28440;2222.0
28500;-21776.0
28560;2222.0
28620;-21785.0
28680;2213.0
28740;-21612.0
28800;1853.0
28860;-22145.0
28920;1853.0
28980;-22145.0
29040;1853.0
29100;-22145.0
29160;1853.0
29220;-22145.0
29280;1853.0
29340;-22145.0
29400;1853.0
29460;-22145.0
29520;1853.0
29580;-22145.0
29640;1853.0
29700;-22478.0
29760;1520.0
29820;-22545.0
29880;1453.0
29940;-22545.0
30000;1453.0
30060;-22545.0
30120;1453.0
30180;-22545.0
30240;1453.0
30300;-22545.0
30360;1453.0
30420;-22481.0
30480;1517.0
30540;-22505.0
30600;1575.0
30660;-22424.0
30720;1573.0
30780;-22426.0
30840;1572.0
30900;-22427.0
30960;1570.0
31020;-22434.0
31080;1564.0
31140;-22499.0
31200;1499.0
31260;-22500.0
31320;1497.0
31380;-22501.0
31440;5205.0
31500;-18513.0
31560;5484.0
31620;-18582.0
31680;5415.0
31740;-18584.0
31800;5413.0
31860;-18585.0
31920;5412.0
31980;-18481.0
32040;5516.0
32100;-18483.0
32160;5516.0
32220;-18483.0
32280;2104.0
32340;-21959.0
32400;3455.0
32460;-20477.0
32520;3521.0
32580;-20478.0
32640;3519.0
32700;-20480.0
32760;3516.0
32820;-20481.0
32880;7123.0
32940;-17045.0
33000;6952.0
33060;-17047.0
33120;6950.0
33180;-17049.0
33240;6949.0
33300;-23887.0
33360;110.0
33420;-23889.0
33480;109.0
33540;-23893.0
33600;104.0
33660;-23895.0
33720;102.0
33780;-23897.0
33840;101.0
33900;-23898.0
33960;99.0
34020;-23900.0
34080;97.0
34140;-23901.0
34200;798.0
34260;-23265.0
34320;732.0
34380;-23267.0
34440;730.0
34500;-23269.0
34560;728.0
34620;-23271.0
34680;726.0
34740;-23273.0
34800;4316.0
34860;-19740.0
34920;4257.0
34980;-19742.0
35040;4255.0
35100;-18466.0
35160;5531.0
35220;-18362.0
35280;5906.0
35340;-18226.0
35400;5771.0
35460;-18228.0
35520;2294.0
35580;-21705.0
35640;2427.0
35700;-21637.0
35760;2360.0
35820;-21889.0
35880;4108.0
35940;-21891.0
36000;45.0
36060;-23955.0
36120;42.0
36180;-23996.0
36240;1.0
36300;-23998.0
36360;-1.0
36420;-24000.0
36480;-3.0
36540;-24002.0
36600;-5.0
36660;-23940.0
36720;57.0
36780;-23942.0
36840;55.0
36900;-21462.0
36960;2535.0
37020;-21464.0
37080;2533.0
37140;-21466.0
37200;2531.0
37260;-21535.0
37320;2461.0
37380;-21602.0
37440;2395.0
37500;-21604.0
37560;2393.0
37620;-21606.0
37680;2391.0
37740;-21608.0
37800;2564.0
37860;-21434.0
37920;2563.0
37980;-21435.0
38040;2563.0
38100;-21436.0
38160;2562.0
38220;-21437.0
38280;2561.0
38340;-21437.0
38400;2560.0
38460;-21332.0
38520;2665.0
38580;-21333.0
38640;2664.0
38700;-21431.0
38760;2567.0
38820;-21431.0
38880;2566.0
38940;-21432.0
39000;2565.0
39060;-21433.0
39120;2564.0
39180;-21434.0
39240;2564.0
39300;-21435.0
39360;4184.0
39420;-21542.0
39480;2456.0
39540;-21542.0
39600;2611.0
39660;-21388.0
39720;2609.0
39780;-21325.0
39840;2676.0
39900;-21255.0
39960;4595.0
40020;-21256.0
40080;2742.0
40140;-21257.0
40200;2741.0
40260;-21258.0
40320;2740.0
40380;-21258.0
40440;2739.0
40500;-21279.0
40560;2718.0
40620;-21280.0
40680;2718.0
40740;-21281.0
40800;2717.0
40860;-21282.0
40920;2716.0
40980;-21350.0
41040;2648.0
41100;-21350.0
41160;2647.0
41220;-21351.0
41280;2646.0
41340;-21352.0
41400;2688.0
41460;-21312.0
41520;2685.0
41580;-21314.0
41640;2682.0
41700;-21211.0
41760;2786.0
41820;-21213.0
41880;2783.0
41940;-21216.0
42000;2781.0
42060;-21218.0
42120;2778.0
42180;-21221.0
42240;2776.0
42300;-21214.0
42360;2783.0
42420;-21216.0
42480;2781.0
42540;-21219.0
42600;2778.0
42660;-21327.0
42720;2670.0
42780;-21330.0
42840;2667.0
42900;-21268.0
42960;2728.0
43020;-21271.0
43080;2726.0
43140;-21273.0
43200;2295.0
43260;-21705.0
43320;2292.0
43380;-21707.0
43440;2289.0
43500;-21710.0
43560;2286.0
43620;-21710.0
43680;2286.0
43740;-21713.0
43800;2284.0
43860;-19716.0
43920;4281.0
43980;-19718.0
44040;4279.0
44100;-22117.0
44160;1880.0
44220;-22119.0
44280;1878.0
44340;-22122.0
44400;1875.0
44460;-22124.0
44520;1872.0
44580;-22127.0
44640;1870.0
44700;-22196.0
44760;1800.0
44820;-22199.0
44880;1798.0
44940;-22096.0
45000;2600.0
45060;-21399.0
45120;2599.0
45180;-21400.0
45240;2598.0
45300;-21400.0
45360;2597.0
45420;-21401.0
45480;2596.0
45540;-21402.0
45600;2595.0
45660;-19608.0
45720;2595.0
45780;-21474.0
45840;2525.0
45900;-21332.0
45960;2666.0
46020;-21199.0
46080;2799.0
46140;-21199.0
46200;2798.0
46260;-21200.0
46320;2797.0
46380;-21201.0
46440;2796.0
46500;-21202.0
46560;2796.0
46620;-21203.0
46680;2795.0
46740;-21268.0
46800;2207.0
46860;-21791.0
46920;2206.0
46980;-21792.0
47040;2119.0
47100;-21879.0
47160;2119.0
47220;-21880.0
47280;2118.0
47340;-21814.0
47400;2184.0
47460;-21815.0
47520;2183.0
47580;-21816.0
47640;2182.0
47700;-21929.0
47760;2068.0
47820;-21930.0
47880;2068.0
47940;-21931.0
48000;2067.0
48060;-21932.0
48120;2066.0
48180;-21827.0
48240;2171.0
48300;-21827.0
48360;2170.0
48420;-21895.0
48480;2102.0
48540;-21896.0
48600;2740.0
