time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc
589140;-694.0;444.0;0.0;0.0;-1153.0;-1;14.614510980123205;17731.34687434121;0.0;0.0
589200;-694.0;444.0;0.0;0.0;-1153.0;5000;14.614510980123205;17657.321175073215;0.0;0.0
589260;-694.0;444.0;0.0;0.0;-1153.0;-1;14.614510980123205;17583.295475805222;0.0;0.0
589320;-691.0;444.0;0.0;0.0;-1150.0;5000;14.614510980123205;17509.26977653723;0.0;0.0
589380;-691.0;444.0;0.0;0.0;-1150.0;-1;14.614510980123205;17435.244077269235;0.0;0.0
589440;-691.0;444.0;0.0;0.0;-1150.0;5000;14.614510980123205;17361.218378001242;0.0;0.0
589500;-538.0;444.0;0.0;0.0;-997.0;-1;14.614510980123205;17287.19267873325;0.0;0.0
589560;-538.0;392.0;0.0;0.0;-945.0;5000;14.614510980123205;17213.166979465255;0.0;0.0
589620;-538.0;392.0;0.0;0.0;-945.0;-1;14.614510980123205;17139.141280197262;0.0;0.0
589680;-538.0;392.0;0.0;0.0;-945.0;5000;14.614510980123205;17065.11558092927;0.0;0.0
589740;-538.0;392.0;0.0;0.0;-945.0;-1;14.614510980123205;16991.089881661275;0.0;0.0
589800;-538.0;392.0;0.0;0.0;-945.0;5000;14.614510980123205;16917.064182393282;0.0;0.0
589860;-538.0;392.0;0.0;0.0;-945.0;-1;14.614510980123205;16843.03848312529;0.0;0.0
589920;-538.0;443.0;0.0;0.0;-996.0;5000;14.614510980123205;16769.012783857295;0.0;0.0
589980;-538.0;443.0;0.0;0.0;-996.0;-1;14.614510980123205;16694.987084589302;0.0;0.0
590040;-538.0;443.0;0.0;0.0;-996.0;5000;14.614510980123205;16620.96138532131;0.0;0.0
590100;-538.0;443.0;0.0;0.0;-996.0;-1;14.614510980123205;16546.935686053315;0.0;0.0
590160;-538.0;443.0;0.0;0.0;-996.0;5000;14.614510980123205;16472.909986785322;0.0;0.0
590220;-538.0;443.0;0.0;0.0;-996.0;-1;14.614510980123205;16398.88428751733;0.0;0.0
590280;-538.0;443.0;0.0;0.0;-996.0;5000;14.614510980123205;16324.858588249335;0.0;0.0
590340;-538.0;443.0;0.0;0.0;-996.0;-1;14.614510980123205;16250.832888981344;0.0;0.0
590400;588.0;443.0;0.0;0.0;131.0;5000;14.614510980123205;16176.807189713352;0.0;0.0
590460;588.0;443.0;0.0;0.0;131.0;-1;14.614510980123205;16102.78149044536;0.0;0.0
590520;588.0;443.0;0.0;0.0;131.0;5000;14.614510980123205;16028.75579117737;0.0;0.0
590580;588.0;443.0;0.0;0.0;131.0;-1;14.614510980123205;15954.730091909378;0.0;0.0
590640;588.0;443.0;0.0;0.0;131.0;5000;14.614510980123205;15880.704392641386;0.0;0.0
590700;588.0;392.0;0.0;0.0;182.0;-1;14.614510980123205;15806.678693373395;0.0;0.0
590760;588.0;392.0;0.0;0.0;182.0;5000;14.614510980123205;15732.652994105403;0.0;0.0
590820;588.0;392.0;0.0;0.0;182.0;-1;14.614510980123205;15658.627294837412;0.0;0.0
590880;588.0;392.0;0.0;0.0;182.0;5000;14.614510980123205;15584.60159556942;0.0;0.0
590940;588.0;392.0;0.0;0.0;182.0;-1;14.614510980123205;15510.575896301429;0.0;0.0
591000;588.0;392.0;0.0;0.0;182.0;5000;14.614510980123205;15436.550197033437;0.0;0.0
591060;588.0;392.0;0.0;0.0;182.0;-1;14.614510980123205;15362.524497765446;0.0;0.0
591120;588.0;392.0;0.0;0.0;182.0;5000;14.614510980123205;15288.498798497454;0.0;0.0
591180;588.0;392.0;0.0;0.0;182.0;-1;14.614510980123205;15214.473099229463;0.0;0.0
591240;588.0;392.0;0.0;0.0;182.0;5000;14.614510980123205;15140.447399961471;0.0;0.0
591300;507.0;392.0;0.0;0.0;101.0;-1;14.614510980123205;15066.42170069348;0.0;0.0
591360;507.0;392.0;0.0;0.0;101.0;5000;14.614510980123205;14992.396001425488;0.0;0.0
591420;507.0;392.0;0.0;0.0;101.0;-1;14.614510980123205;14918.370302157497;0.0;0.0
591480;507.0;392.0;0.0;0.0;101.0;5000;14.614510980123205;14844.344602889505;0.0;0.0
591540;507.0;392.0;0.0;0.0;101.0;-1;14.614510980123205;14770.318903621514;0.0;0.0
591600;507.0;392.0;0.0;0.0;101.0;5000;14.614510980123205;14696.293204353522;0.0;0.0
591660;508.0;2392.0;0.0;0.0;-1898.0;-1;14.614510980123205;14622.26750508553;0.0;0.0
591720;508.0;2392.0;0.0;0.0;-1898.0;5000;14.614510980123205;14548.241805817539;0.0;0.0
591780;507.0;392.0;0.0;0.0;101.0;-1;14.614510980123205;14474.216106549547;0.0;0.0
591840;507.0;444.0;0.0;0.0;49.0;5000;14.614510980123205;14400.190407281556;0.0;0.0
591900;507.0;444.0;0.0;0.0;49.0;-1;14.614510980123205;14326.164708013564;0.0;0.0
591960;507.0;444.0;0.0;0.0;49.0;5000;14.614510980123205;14252.139008745573;0.0;0.0
592020;507.0;444.0;0.0;0.0;49.0;-1;14.614510980123205;14178.113309477581;0.0;0.0
592080;507.0;444.0;0.0;0.0;49.0;5000;14.614510980123205;14104.08761020959;0.0;0.0
592140;507.0;444.0;0.0;0.0;49.0;-1;14.614510980123205;14030.061910941598;0.0;0.0
592200;480.0;444.0;0.0;0.0;22.0;5000;14.614510980123205;13956.036211673607;0.0;0.0
592260;480.0;444.0;0.0;0.0;22.0;-1;14.614510980123205;13882.010512405615;0.0;0.0
592320;480.0;444.0;0.0;0.0;22.0;5000;14.614510980123205;13807.984813137624;0.0;0.0
592380;480.0;444.0;0.0;0.0;22.0;-1;14.614510980123205;13733.959113869632;0.0;0.0
592440;480.0;444.0;0.0;0.0;22.0;5000;14.614510980123205;13659.93341460164;0.0;0.0
592500;480.0;444.0;0.0;0.0;22.0;-1;14.614510980123205;13585.90771533365;0.0;0.0
592560;480.0;444.0;0.0;0.0;22.0;5000;14.614510980123205;13511.882016065658;0.0;0.0
592620;481.0;444.0;0.0;0.0;-2641.0;-1;14.614510980123205;13437.856316797666;2663.75;0.0
592680;480.0;392.0;0.0;0.0;74.0;5000;14.614510980123205;13363.830617529675;0.0;0.0
592740;480.0;392.0;0.0;0.0;74.0;-1;14.614510980123205;13289.804918261683;0.0;0.0
592800;480.0;392.0;0.0;0.0;74.0;5000;14.614510980123205;13215.779218993692;0.0;0.0
592860;480.0;392.0;0.0;0.0;74.0;-1;14.614510980123205;13141.7535197257;0.0;0.0
592920;480.0;392.0;0.0;0.0;74.0;5000;14.614510980123205;13067.727820457709;0.0;0.0
592980;480.0;392.0;0.0;0.0;74.0;-1;14.614510980123205;12993.702121189717;0.0;0.0
593040;480.0;392.0;0.0;0.0;74.0;5000;14.614510980123205;12919.676421921726;0.0;0.0
593100;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;12845.650722653734;0.0;0.0
593160;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;12771.625023385743;0.0;0.0
593220;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;12697.599324117751;0.0;0.0
593280;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;12623.57362484976;0.0;0.0
593340;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;12549.547925581768;0.0;0.0
593400;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;12475.522226313777;0.0;0.0
593460;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;12401.496527045785;0.0;0.0
593520;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;12327.470827777794;0.0;0.0
593580;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;12253.445128509802;0.0;0.0
593640;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;12179.41942924181;0.0;0.0
593700;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;12105.393729973819;0.0;0.0
593760;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;12031.368030705828;0.0;0.0
593820;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;11957.342331437836;0.0;0.0
593880;461.0;443.0;0.0;0.0;4.0;5000;14.614510980123205;11883.316632169845;0.0;0.0
593940;461.0;443.0;0.0;0.0;4.0;-1;14.614510980123205;11809.290932901853;0.0;0.0
594000;660.0;443.0;0.0;0.0;203.0;5000;14.614510980123205;11735.265233633861;0.0;0.0
594060;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;11661.23953436587;0.0;0.0
594120;661.0;392.0;0.0;0.0;-2640.0;5000;14.614510980123205;11587.213835097878;2895.25;0.0
594180;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;11513.188135829887;0.0;0.0
