time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc
317220;1307.0;304.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12084.894259271268;0.0;0.0
317280;1308.0;304.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12081.957679895153;0.0;0.0
317340;1308.0;304.0;0.0;0.0;0.0;0.0;1080.9513093582673;12079.021100519038;0.0;0.0
317400;1309.0;304.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12076.084521142922;0.0;0.0
317460;1374.0;368.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12073.147941766807;0.0;0.0
317520;1374.0;368.0;0.0;0.0;0.0;0.0;1080.9513093582673;12070.211362390692;0.0;0.0
317580;1375.0;368.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12067.274783014576;0.0;0.0
317640;1376.0;368.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12064.338203638461;0.0;0.0
317700;1376.0;368.0;0.0;0.0;0.0;0.0;1080.9513093582673;12061.401624262346;0.0;0.0
317760;1377.0;368.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12058.46504488623;0.0;0.0
317820;1377.0;368.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12055.528465510115;0.0;0.0
317880;1378.0;368.0;0.0;0.0;0.0;0.0;1080.9513093582673;12052.591886134;0.0;0.0
317940;1379.0;368.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12049.655306757884;0.0;0.0
318000;1379.0;368.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12046.718727381769;0.0;0.0
318060;1380.0;368.0;0.0;0.0;0.0;0.0;1080.9513093582673;12043.782148005654;0.0;0.0
318120;1380.0;368.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12040.845568629538;0.0;0.0
318180;1317.0;304.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12037.908989253423;0.0;0.0
