time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
450660;1651.0;202.0;1000.0;0.0;0.0
450720;1651.0;202.0;1000.0;10000.0;0.0
450780;1651.0;202.0;1000.0;0.0;10000.0
450840;1651.0;202.0;1000.0;0.0;0.0
450900;1545.0;96.0;1000.0;10000.0;0.0
450960;1545.0;96.0;1000.0;0.0;10000.0
451020;1545.0;96.0;1000.0;0.0;0.0
451080;1545.0;96.0;1000.0;10000.0;0.0
451140;1545.0;96.0;1000.0;0.0;10000.0
451200;1545.0;96.0;1000.0;0.0;0.0
451260;1545.0;96.0;1000.0;10000.0;0.0
451320;1545.0;96.0;1000.0;0.0;10000.0
451380;1545.0;96.0;1000.0;0.0;0.0
451440;1545.0;96.0;1000.0;10000.0;0.0
451500;1545.0;96.0;1000.0;0.0;10000.0
451560;1545.0;96.0;1000.0;0.0;0.0
451620;1545.0;96.0;1000.0;10000.0;0.0
451680;1545.0;96.0;1000.0;0.0;10000.0
451740;1545.0;96.0;1000.0;0.0;0.0
451800;1545.0;96.0;1000.0;10000.0;0.0
451860;1545.0;96.0;1000.0;0.0;10000.0
451920;1545.0;96.0;1000.0;0.0;0.0
451980;1545.0;96.0;1000.0;10000.0;0.0
452040;1545.0;96.0;1000.0;0.0;10000.0
452100;1545.0;96.0;1000.0;0.0;0.0
452160;1545.0;96.0;1000.0;10000.0;0.0
452220;1545.0;96.0;1000.0;0.0;10000.0
452280;1545.0;96.0;1000.0;0.0;0.0
452340;1545.0;96.0;1000.0;10000.0;0.0
452400;1545.0;96.0;1000.0;0.0;10000.0
452460;1545.0;96.0;1000.0;0.0;0.0
452520;1545.0;96.0;1000.0;10000.0;0.0
452580;1545.0;96.0;1000.0;0.0;10000.0
452640;1545.0;96.0;1000.0;0.0;0.0
452700;1545.0;96.0;1000.0;10000.0;0.0
452760;1545.0;96.0;1000.0;0.0;10000.0
452820;1545.0;96.0;1000.0;0.0;0.0
452880;1545.0;96.0;1000.0;10000.0;0.0
452940;1545.0;96.0;1000.0;0.0;10000.0
453000;1545.0;96.0;1000.0;0.0;0.0
453060;1545.0;96.0;1000.0;10000.0;0.0
453120;1545.0;96.0;1000.0;0.0;10000.0
453180;1651.0;202.0;1000.0;0.0;0.0
453240;1651.0;202.0;1000.0;10000.0;0.0
453300;1651.0;202.0;1000.0;0.0;10000.0
453360;1651.0;202.0;1000.0;0.0;0.0
453420;1651.0;202.0;1000.0;10000.0;0.0
453480;1651.0;202.0;1000.0;0.0;10000.0
453540;1651.0;202.0;1000.0;0.0;0.0
453600;1651.0;202.0;1000.0;10000.0;0.0
453660;1651.0;202.0;1000.0;0.0;10000.0
453720;1651.0;202.0;1000.0;0.0;0.0
453780;1651.0;202.0;1000.0;10000.0;0.0
453840;1651.0;202.0;1000.0;0.0;10000.0
453900;1651.0;202.0;1000.0;0.0;0.0
453960;1651.0;202.0;1000.0;10000.0;0.0
454020;1651.0;202.0;1000.0;0.0;10000.0
454080;1651.0;202.0;1000.0;0.0;0.0
454140;1545.0;96.0;1000.0;10000.0;0.0
454200;1545.0;96.0;1000.0;0.0;10000.0
454260;1545.0;96.0;1000.0;0.0;0.0
454320;1545.0;96.0;1000.0;10000.0;0.0
454380;1545.0;96.0;1000.0;0.0;10000.0
454440;1545.0;96.0;1000.0;0.0;0.0
454500;1545.0;96.0;1000.0;10000.0;0.0
454560;1545.0;96.0;1000.0;0.0;10000.0
454620;1545.0;96.0;1000.0;0.0;0.0
454680;1545.0;96.0;1000.0;10000.0;0.0
454740;1545.0;96.0;1000.0;0.0;10000.0
454800;1545.0;96.0;1000.0;0.0;0.0
